
卫视频道,#genre#
吉林卫视,http://204.12.221.218:8181/3m1080p/jlws.m3u8
吉林卫视,http://14.153.176.183:1234/947472500
吉林卫视,http://110.154.192.76:7788/947472500
吉林卫视,http://116.236.204.18:1234/947472500
吉林卫视,http://101.6.130.52:1234/947472500
吉林卫视,http://27.12.12.29:1234/947472500
宁夏卫视,http://116.52.173.34:1234/738910535
宁夏卫视,http://27.12.12.29:1234/738910535
宁夏卫视,http://101.6.130.52:1234/738910535
宁夏卫视,http://119.88.243.98:17231/738910535
宁夏卫视,http://183.162.104.116:1234/738910535
宁夏卫视,http://14.153.176.183:1234/738910535
宁夏卫视,http://110.154.192.76:7788/738910535
宁夏卫视,http://116.236.204.18:1234/738910535
山西卫视,http://204.12.221.218:8181/3m1080p/sxws.m3u8
陕西卫视,http://101.6.130.52:1234/738910838
陕西卫视,http://110.154.192.76:7788/738910838
陕西卫视,http://204.12.221.218:8181/3m1080p/snws.m3u8
陕西卫视,http://14.153.176.183:1234/738910838
陕西卫视,http://27.12.12.29:1234/738910838
陕西卫视,http://116.52.173.34:1234/738910838
陕西卫视,http://119.88.243.98:17231/738910838
陕西卫视,http://183.162.104.116:1234/738910838
陕西卫视,http://116.236.204.18:1234/738910838
甘肃卫视,http://204.12.221.218:8181/3m1080p/gsws.m3u8
青海卫视,http://110.154.192.76:7788/947472506
青海卫视,http://116.236.204.18:1234/947472506
青海卫视,http://119.88.243.98:17231/947472506
青海卫视,http://116.52.173.34:1234/947472506
青海卫视,http://27.12.12.29:1234/947472506
青海卫视,http://101.6.130.52:1234/947472506
青海卫视,http://14.153.176.183:1234/947472506
青海卫视,http://183.162.104.116:1234/947472506
三沙卫视,http://116.236.204.18:1234/961023778
三沙卫视,http://14.153.176.183:1234/961023778
三沙卫视,http://116.52.173.34:1234/961023778
三沙卫视,http://110.154.192.76:7788/961023778
三沙卫视,http://119.88.243.98:17231/961023778
三沙卫视,http://27.12.12.29:1234/961023778
三沙卫视,http://101.6.130.52:1234/961023778
三沙卫视,http://183.162.104.116:1234/961023778
兵团卫视,http://183.162.104.116:1234/956923145
兵团卫视,http://116.236.204.18:1234/956923145
兵团卫视,http://27.12.12.29:1234/956923145
兵团卫视,http://14.153.176.183:1234/956923145
兵团卫视,http://119.88.243.98:17231/956923145
兵团卫视,http://116.52.173.34:1234/956923145
兵团卫视,http://101.6.130.52:1234/956923145
兵团卫视,http://110.154.192.76:7788/956923145
山东教育卫视,http://183.162.104.116:1234/609154353
山东教育卫视,http://116.236.204.18:1234/609154353
山东教育卫视,http://14.153.176.183:1234/609154353
山东教育卫视,http://27.12.12.29:1234/609154353
山东教育卫视,http://116.52.173.34:1234/609154353
山东教育卫视,http://101.6.130.52:1234/609154353
山东教育卫视,http://110.154.192.76:7788/609154353
山东教育卫视,http://119.88.243.98:17231/609154353
中国教育1台,http://116.52.173.34:1234/923287154
中国教育1台,http://27.12.12.29:1234/923287154
中国教育1台,http://183.162.104.116:1234/923287154
中国教育1台,http://110.154.192.76:7788/923287154
中国教育1台,http://101.6.130.52:1234/923287154
中国教育1台,http://116.236.204.18:1234/923287154
中国教育1台,http://119.88.243.98:17231/923287154
中国教育1台,http://14.153.176.183:1234/923287154
中国教育2台,http://14.153.176.183:1234/923287211
中国教育2台,http://119.88.243.98:17231/923287211
中国教育2台,http://110.154.192.76:7788/923287211
中国教育2台,http://27.12.12.29:1234/923287211
中国教育2台,http://101.6.130.52:1234/923287211
中国教育2台,http://183.162.104.116:1234/923287211
中国教育2台,http://116.52.173.34:1234/923287211
中国教育4台,http://116.236.204.18:1234/923287339
中国教育4台,http://183.162.104.116:1234/923287339
中国教育4台,http://14.153.176.183:1234/923287339
中国教育4台,http://116.52.173.34:1234/923287339
中国教育4台,http://119.88.243.98:17231/923287339
中国教育4台,http://101.6.130.52:1234/923287339
中国教育4台,http://110.154.192.76:7788/923287339
中国教育4台,http://27.12.12.29:1234/923287339

数字频道,#genre#
CHC影迷电影,http://116.236.204.18:1234/952383261
CHC影迷电影,http://110.154.192.76:7788/952383261
CHC影迷电影,http://183.162.104.116:1234/952383261
CHC影迷电影,http://116.52.173.34:1234/952383261
CHC影迷电影,http://101.6.130.52:1234/952383261
CHC影迷电影,http://119.88.243.98:17231/952383261
CHC影迷电影,http://14.153.176.183:1234/952383261
CHC影迷电影,http://27.12.12.29:1234/952383261
经典香港电影,http://119.88.243.98:17231/625703337
经典香港电影,http://116.52.173.34:1234/625703337
经典香港电影,http://183.162.104.116:1234/625703337
经典香港电影,http://101.6.130.52:1234/625703337
经典香港电影,http://116.236.204.18:1234/625703337
经典香港电影,http://110.154.192.76:7788/625703337
经典香港电影,http://14.153.176.183:1234/625703337
经典香港电影,http://27.12.12.29:1234/625703337
抗战经典影片,http://27.12.12.29:1234/617432318
抗战经典影片,http://119.88.243.98:17231/617432318
抗战经典影片,http://110.154.192.76:7788/617432318
抗战经典影片,http://116.52.173.34:1234/617432318
抗战经典影片,http://101.6.130.52:1234/617432318
抗战经典影片,http://14.153.176.183:1234/617432318
抗战经典影片,http://183.162.104.116:1234/617432318
