安徽频道,#genre#
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099
山西卫视,http://10.255.127.35:6060/gitv_live/SXWS/index.m3u8?Playtype=1&gMac=&partnerCode=&m3u8_level=2
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098
辽宁卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000472
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000619
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091
黑龙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000075
东南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244
江西卫视,http://10.255.127.35:6060/gitv_live/G_JIANGXI-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000652
山东卫视,http://10.255.127.103:6410/gitv_live/G_SHANDONG-4K/index.m3u8?Playtype=1&gMac=&partnerCode=&m3u8_level=2
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000645
湖南卫视,http://10.255.127.103:6410/gitv_live/G_HUNAN-4K/index.m3u8?Playtype=1&gMac=&partnerCode=&m3u8_level=2
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000636
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000638
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197
广西卫视,http://10.255.127.35:6060/gitv_live/G_GUANGXI-HQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
